valid,reasons,warnings,metrics,filename
True,[],[],"{'snr': 17.631007432937622, 'consistency': 0.2901754081249237, 'flatness': 0.038804658}",itsblack_friday_audio_part1_dominant.wav
True,[],[],"{'snr': 19.757604598999023, 'consistency': 0.3170434832572937, 'flatness': 0.018473653}",javiimontalvo_audio_part1_dominant.wav
True,[],['Low SNR 13.4dB'],"{'snr': 13.350591659545898, 'consistency': 0.43258804082870483, 'flatness': 0.040880006}",kjnetic_audio_part1_dominant.wav
True,[],[],"{'snr': 24.082396030426025, 'consistency': 0.25405678153038025, 'flatness': 0.02098037}",ltfoxawesome_audio_part1_dominant.wav
True,[],[],"{'snr': 17.24543809890747, 'consistency': 0.44939717650413513, 'flatness': 0.024291115}",makaylareads_audio_part1_dominant.wav
True,[],[],"{'snr': 21.638517379760742, 'consistency': 0.33542966842651367, 'flatness': 0.02778226}",merlenau_audio_part1_dominant.wav
True,[],[],"{'snr': 17.464319467544556, 'consistency': 0.2547549903392792, 'flatness': 0.03866268}",mkondich_audio_part1_dominant.wav
True,[],[],"{'snr': 17.378228902816772, 'consistency': 0.4991033673286438, 'flatness': 0.0435276}",mrrrrrrrrmoke_audio_part2_dominant.wav
True,[],[],"{'snr': 20.791029930114746, 'consistency': 0.39424338936805725, 'flatness': 0.028737986}",nebulaasmr_audio_part1_dominant.wav
True,[],[],"{'snr': 17.654337882995605, 'consistency': 0.4271240532398224, 'flatness': 0.024386361}",nictrades_audio_part1_dominant.wav
True,[],[],"{'snr': 23.361191749572754, 'consistency': 0.34355786442756653, 'flatness': 0.025371168}",omniskillz_audio_part1_dominant.wav
True,[],[],"{'snr': 22.22425937652588, 'consistency': 0.4044806659221649, 'flatness': 0.01163561}",paalsky_audio_part1_dominant.wav
True,[],[],"{'snr': 22.268640995025635, 'consistency': 0.38192033767700195, 'flatness': 0.012957944}",paalsky_audio_part2_dominant.wav
True,[],[],"{'snr': 19.299683570861816, 'consistency': 0.27795282006263733, 'flatness': 0.019343173}",pastel_pages_audio_part1_dominant.wav
True,[],[],"{'snr': 18.302319049835205, 'consistency': 0.3482787013053894, 'flatness': 0.017407779}",pastel_pages_audio_part2_dominant.wav
False,['Consistency 0.12'],[],"{'snr': 28.767166137695312, 'consistency': 0.12087135761976242, 'flatness': 0.016448874}",raeldontv_audio_part1_dominant.wav
True,[],[],"{'snr': 23.221659660339355, 'consistency': 0.31872087717056274, 'flatness': 0.031347036}",runnerguy2489_audio_part1_dominant.wav
True,[],[],"{'snr': 16.22130036354065, 'consistency': 0.37914952635765076, 'flatness': 0.022361098}",samajestay_audio_part1_dominant.wav
True,[],[],"{'snr': 15.372579097747803, 'consistency': 0.3158779740333557, 'flatness': 0.019741604}",sarapyon1228_audio_part1_dominant.wav
True,[],['Low SNR 14.7dB'],"{'snr': 14.720895290374756, 'consistency': 0.4421491324901581, 'flatness': 0.0033974836}",shibliofficial_audio_part1_dominant.wav
True,[],[],"{'snr': 21.63595199584961, 'consistency': 0.4546637237071991, 'flatness': 0.02148789}",strangeland_elf_audio_part1_dominant.wav
False,['Consistency 0.22'],[],"{'snr': 22.664718627929688, 'consistency': 0.22164416313171387, 'flatness': 0.021617925}",thesighfigirl_audio_part1_dominant.wav
True,[],[],"{'snr': 20.566182136535645, 'consistency': 0.2881906032562256, 'flatness': 0.03337867}",tjhallofficial_audio_part1_dominant.wav
True,[],[],"{'snr': 16.429166793823242, 'consistency': 0.39964884519577026, 'flatness': 0.01890027}",tracethat_audio_part1_dominant.wav
True,[],[],"{'snr': 16.301883459091187, 'consistency': 0.33363550901412964, 'flatness': 0.014316755}",trustin_keysus_audio_part1_dominant.wav
True,[],[],"{'snr': 16.444379091262817, 'consistency': 0.35187795758247375, 'flatness': 0.014911424}",trustin_keysus_audio_part2_dominant.wav
True,[],[],"{'snr': 19.98061180114746, 'consistency': 0.3069643974304199, 'flatness': 0.01781749}",wayofthetempest_audio_part1_dominant.wav
